科號,課程中文名稱,課程英文名稱,學分數,人限,新生保留人數,通識對象,通識類別,授課語言,備註,停開註記,教室與上課時間,授課教師,擋修說明,課程限制說明,第一二專長對應,學分學程對應,不可加簽說明,必選修說明
11110KENI110600,英語語音學,English Phonetics,2,55,48, ,,中,本課程為16週課程,,"Nanda南大9512	W1W2
","吳睿純	WU, JUI-CHUN
",,英教系大學部1年級優先，第3次選課起開放全校修習,英語教學(第二專長)	英語教學(第一專長),,,英教系111B  必修	
11110KENI130400,英文繪本選讀,Selected Readings on English Picture Books,2,55,48, ,,中,本課程為16週課程,,"Nanda南大9204	F3F4
","楊榮蘭	YANG, RONG-LAN
",,英教系優先，第3次選課起開放全校修習,,,,英教系111B  選修	
11110KENI130900,廿世紀新思潮導讀,Understanding Great Minds of the 20th Century,2,55,48, ,,英,本課程為16週課程；107學年度起入學非外語系英教系同學可承認為選讀英文學分，課程級數為高級,,"Nanda南大9104	R5R6
","金祖詠	KING, TZUU-YEONG
",,英教系優先，第3次選課起開放全校修習,,,,英教系111B  選修	
11110KENI200300,英文三,English III,2,55,0, ,,英,本課程為16週課程；英教系同學限修此科，不可修習其他英文三；非英教系同學選此科無法抵《英文領域必修》,,"Nanda南大9204	M7M8
","詹智婷	CHAN, CHIH-TING
",,限英教系大學部2年級,,,,英教系110B  必修	
11110KENI210700,英國文學,English Literature,3,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	R7R8R9
","鄧宜菁	TENG, YI-CHING
",,英教系優先，第3次選課起開放全校修習,英語教學(第二專長)	英語教學(第一專長),,,英教系110B  必修	
11110KENI220100,英語教學概論,Introduction to TESOL Methodology,3,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	T7T8T9
","楊榮蘭	YANG, RONG-LAN
",,英教系優先，第3次選課起開放全校修習,英語教學(第二專長)	英語教學(第一專長),,,英教系110B  必修	
11110KENI231000,英文兒童文學,English Children's Literature,2,48,0, ,,英,本課程為16週課程,,"Nanda南大9106	R1R2
","孫德宜	SUN, TEH-YI
",,英教系優先，第3次選課起開放全校修習,,,,英教系110B  選修	
11110KENI231200,進階法語,Advanced French,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	R5R6
","鄧宜菁	TENG, YI-CHING
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>初階法語-成績需C-以上<BR><br>上述條件一定要有，則不擋修。</div>",英教系優先，第3次選課起開放全校修習,,,,英教系110B  選修	
11110KENI231300,英語句法學,English Syntax,3,55,0, ,,中,本課程為16週課程,,"Nanda南大9513	T2T3T4
","黃漢君	HUANG, HAN-CHUN
",,英教系優先，第3次選課起開放全校修習,,,,英教系110B  選修	
11110KENI231800,英語聽講訓練,Practice in English Listening and Speaking,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9204	M5M6
","王國樹	WANG, KUO-SHU
",,英教系優先，第3次選課起開放全校修習,,,,英教系110B  選修	
11110KENI320300,英語教材教法,TESOL Methods Course,3,55,0, ,,英,本課程為16週課程,,"Nanda南大9512	M7M8M9
","簡靜雯	CHIEN, CHIN-WEN
",,英教系優先，第3次選課起開放全校修習,英語教學(第二專長)	英語教學(第一專長),,,英教系109B  必修	
11110KENI331800,社會語言學,Sociolinguistics,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	T5T6
","吳睿純	WU, JUI-CHUN
",,英教系優先，第3次選課起開放全校修習,,,,英教系109B  選修	
11110KENI331900,美國文學,American Literature,2,48,0, ,,英,本課程為16週課程,,"Nanda南大9106	R3R4
","孫德宜	SUN, TEH-YI
",,英教系優先，第3次選課起開放全校修習,,,,英教系109B  選修	
11110KENI332100,中英對比分析,Contrasting Analysis: English and Chinese,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9513	M3M4
","黃漢君	HUANG, HAN-CHUN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>英語語言學概論-成績需C-以上<BR><br>上述條件一定要有，則不擋修。</div>",英教系優先，第3次選課起開放全校修習,,,,英教系109B  選修	
11110KENI340600,英語讀寫教學,English Reading and Writing Instruction,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	T3T4
","周秋惠	CHOU, CHIOU-HUI
",,英教系優先，第3次選課起開放全校修習,,,,英教系109B  選修	
11110KENI420600,英語教學評量,English Language Assessment,3,48,0, ,,英,本課程為16週課程,,"Nanda南大9513	M7M8M9
","余立棠	YU, LI-TANG
",,英教系優先，第3次選課起開放全校修習,英語教學(第二專長)	英語教學(第一專長),,,英教系108B  必修	
11110KENI420700,英語教學專題,Seminar on TESOL Issues,2,55,0, ,,英,本課程為16週課程,,"Nanda南大9512	T1T2
","簡靜雯	CHIEN, CHIN-WEN
",,英教系優先，第3次選課起開放全校修習,英語教學(第一專長),,,英教系108B  必修	
11110KENI432400,語言學專題,Seminar on Linguistics,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	M5M6
","黃漢君	HUANG, HAN-CHUN
",,英教系優先，第3次選課起開放全校修習,,,,英教系108B  選修	
11110KENI432500,歐洲文學,European Literature,2,55,0, ,,中,本課程為16週課程,,"Nanda南大9512	W5W6
","鄧宜菁	TENG, YI-CHING
",,英教系優先，第3次選課起開放全校修習,,,,英教系108B  選修	
11110KENI441100,雙語教育,Bilingual Education,2,48,0, ,,英,本課程為16週課程,,"Nanda南大9512	M3M4
","羅文杏	LUO, WEN-HSING
",,英教系優先，第3次選課起開放全校修習,,,,英教系108B  選修	
11110KENI510100,英語教學理論,Theories of Teaching English as a Second Foreign Language,3,15,0, ,,英,本課程為16週課程,,"Nanda南大9212	M5M6M7
","周秋惠	CHOU, CHIOU-HUI
",,英教系碩士班優先，第3次選課起開放全校修習,,,,英教系111M  選修	
11110KENI530100,語言學研究,Studies on Linguistics,3,15,0, ,,英,本課程為16週課程,,"Nanda南大9212	W5W6W7
","吳睿純	WU, JUI-CHUN
",,英教系碩士班優先，第3次選課起開放全校修習,,,,英教系111M  選修	
11110KENI540100,研究方法與論文寫作,Research Methodology and Thesis Writing,3,15,0, ,,英,本課程為16週課程,,"Nanda南大9212	M1M2M3
","簡靜雯	CHIEN, CHIN-WEN
",,英教系碩士班優先，第3次選課起開放全校修習,,,,英教系111M  必修	
11110KENI620600,電腦輔助語言學習研究,Studies on Computer Assisted Language Learning,3,15,0, ,,英,本課程為16週課程,,"Nanda南大9212	W2W3W4
","余立棠	YU, LI-TANG
",,英教系碩士班優先，第3次選課起開放全校修習,,,,英教系111M  選修	
11110KENI620700,雙語教育研究,Studies on Bilingual Education,3,15,0, ,,英,本課程為16週課程,,"Nanda南大9212	T2T3T4
","羅文杏	LUO, WEN-HSING
",,英教系碩士班優先，第3次選課起開放全校修習,,,,英教系111M  選修	
11110KENI630300,兒童文學在英語課程之運用,Children's Literature in Language Teaching,3,15,0, ,,英,本課程為16週課程,,"Nanda南大9106	T5T6T7
","孫德宜	SUN, TEH-YI
",,英教系碩士班優先，第3次選課起開放全校修習,,,,英教系111M  選修	
11110KENI640000,論文研究,Thesis,0,,0, ,,中,限碩二以上修習,,,"指導教授	
",,排除英教系碩士班1年級,,,,英教系111M  必修	
11110KHCT100400,教育的國際視野,Global Perspectives on Education,2,180,150, ,,英,111學年度教育學院學士班院必修課程，上學期選課學系：教育學院學士班、心諮系、英教系大一新生,,"Nanda南大N001	W5W6
","教育學院	
",,"英教系大學部1年級,教育學院學士班大學部1年級,心諮系大學部1年級優先，第3次選課起開放全校修習",,,,英教系111B  必修	教育學院學士班111B  必修	心諮系111B  必修	
11110KHCT101500,農耕與生命發展,Farming and Life Development,2,20,0, ,,中, ,,"Nanda南大1319	F7F8
","成虹飛	CHERNG, HORN-FAY
",,,,(跨領域)華德福教育學分學程,,
11110KHCT401600,華德福學校/園所見習,Practicum in Waldorf School and Kindergarten,2,20,0, ,,中,(授課教師：王智弘),,"Nanda南大1319	W5W6
","聘任中	
",,,,(跨領域)華德福教育學分學程,,
11110KHCT401800,華德福藝術教學,Art Teaching in Waldorf,2,30,0, ,,中, ,,"Nanda南大1319	T3T4
","陳恬慧	CHEN, TIEN-HUI
",,,,(跨領域)華德福教育學分學程,,
11110KHCT500101,研究方法-質性研究,Qualitative Research Methods,3,20,0, ,,中,教育學院碩士班院核心課程，第二階段選課開放院內跨系所修課,,"Nanda南大N317	W2W3W4
","呂秀蓮	LU, HSIU-LIEN
",,"限教育學院,碩士班",,,,環文系111M  必修	幼教系111M  必修	教科系111MB 必修	英教系111M  必修	學科所111M  必修	數理所111M  選修	心諮系111MA 選修	心諮系111MB 選修	臺語所111M  必修	
11110KHCT500102,研究方法-質性研究,Qualitative Research Methods,3,20,0, ,,中,教育學院碩士班院核心課程，第二階段選課開放院內跨系所修課,,"Nanda南大9104	W3W4Wn
","倪進誠	NI, CHIN-CHENG
",,"限教育學院,碩士班",,,,環文系111M  必修	幼教系111M  必修	教科系111MB 必修	英教系111M  必修	學科所111M  必修	數理所111M  選修	心諮系111MA 選修	心諮系111MB 選修	臺語所111M  必修	
11110KHCT500201,研究方法-量化研究,Quantitative Research Methods,3,25,0, ,,英,教育學院碩士班院核心課程，第二階段選課開放院內跨系所修課,,"Nanda南大N316	W2W3W4
","李元萱	LEE, YUAN-HSUAN
",,"限教育學院,碩士班",,,,環文系111M  必修	幼教系111M  必修	教科系111MB 必修	英教系111M  必修	學科所111M  必修	心諮系111MA 選修	心諮系111MB 選修	特教系111M  必修	運科系111M  必修	臺語所111M  必修	
11110KHCT500202,研究方法-量化研究,Quantitative Research Methods,3,25,0, ,,中,教育學院碩士班院核心課程，第二階段選課開放院內跨系所修課,,"Nanda南大A310	M2M3M4
","林貴福	LIN, KUEI-FU
",,"限教育學院,碩士班",,,,環文系111M  必修	幼教系111M  必修	教科系111MB 必修	英教系111M  必修	學科所111M  必修	心諮系111MA 選修	心諮系111MB 選修	特教系111M  必修	運科系111M  必修	臺語所111M  必修	
11110KHCT500203,研究方法-量化研究,Quantitative Research Methods,3,18,0, ,,英,"教育學院碩士班院核心課程,第二階段選課開放院內跨系所修課.本課程為16 週課程.",,"Nanda南大N402	T1T2T3
","翁嘉遜	JASIN WONG
",,"限教育學院,碩士班",,,,環文系111M  必修	幼教系111M  必修	教科系111MB 必修	英教系111M  必修	學科所111M  必修	心諮系111MA 選修	心諮系111MB 選修	特教系111M  必修	運科系111M  必修	臺語所111M  必修	
11110KHCT500204,研究方法-量化研究,Quantitative Research Methods,3,22,0, ,,中,教育學院碩士班院核心課程，第二階段選課開放院內跨系所修課,,"Nanda南大N203	R5R6R7
","江旭新	CHIANG, HSU-HSIN
",,"限教育學院,碩士班",,,,環文系111M  必修	幼教系111M  必修	教科系111MB 必修	英教系111M  必修	學科所111M  必修	心諮系111MA 選修	心諮系111MB 選修	特教系111M  必修	運科系111M  必修	臺語所111M  必修	
11110KIPE100100,教育與心智科學導論,Introduction to Education and mind science,3,40,0, ,,英,"本課程上150分,其餘時間由教授彈性運用.「學習科學」專長、「心智、大腦與學習」專長必修.本課程為16週課程",,"Nanda南大1407	W3W4F3F4
","莊鈞翔	CHUANG, CHUN-HSIANG
",,,心智、大腦與學習(第二專長),,,教育學院學士班111B  選修	
11110KIPE101100,學習與科技專題探究,Special Topic on Learning and Technology,3,40,0, ,,中,院學士班必選修課程,,"Nanda南大1407	W7W8W9
","曾郁庭	ZENG,YU-TING
",,,,,,教育學院學士班111B  選修	
11110KIPE101300,腦科學與教育,"Mind, Brain and Education",3,40,0, ,,中,院學士班必選修課程,,"Nanda南大1407	T2T3T4
","高千惠	KAO, CHIEN-HUI
王子華	WANG, TZU-HUA
",,,,,,教育學院學士班111B  選修	
11110KIPE101400,普通心理學,Introductory Psychology,3,45,0, ,,英,「心智、大腦與學習」專長必修.本課程為16週課程。,,"Nanda南大1407	R7R8R9
","陳伊慈	CHEN, EVA E
",,,心智、大腦與學習(第二專長),,,教育學院學士班111B  選修	
11110KIPE120100,永續發展教育與環境素養,Sustainable development education and environmental literacy,3,50,0, ,,中, ,,"Nanda南大1411	T7T8T9
","倪進誠	NI, CHIN-CHENG
曾慈慧	TSENG, TZU-HUI
丁志堅	DING, TSU-JEN
",,,,,,教育學院學士班111B  選修	
11110KIPE121300,環境資源分析概論,Analysis in Environmental Resource,3,50,0, ,,中, ,,"Nanda南大9122	W2W3W4
","黃書偉	HUANG, SHU-WEI
",,,永續發展教育(第二專長),(跨領域)永續發展與環境管理學分學程,,教育學院學士班111B  選修	
11110KIPE121700,城鄉環境分析,Analysis on Rural-urban environment,3,50,0, ,,中, ,,"Nanda南大9507	T2T3T4
","倪進誠	NI, CHIN-CHENG
",,,永續發展教育(第二專長),(跨領域)永續發展與環境管理學分學程,,教育學院學士班110B  選修	
11110KIPE124100,永續發展教育與法治素養,"Rule of Law, Public Policy and Sustainable Development",3,50,0, ,,中, ,,"Nanda南大9105	T2T3T4
","楊宗翰	YANG, CHUNG-HAN
",,,,,,教育學院學士班111B  選修	
11110KIPE221900,地理資訊系統概論,Introduction of Geographic Information Systems,3,50,0, ,,中, ,,"Nanda南大2303	R6R7R8
","丁志堅	DING, TSU-JEN
",,,永續發展教育(第二專長),(跨領域)永續發展與環境管理學分學程,,教育學院學士班111B  選修	
11110KIPE224500,公共政策,Public Policy,3,46,0, ,,中, ,,"Nanda南大1405	M2M3M4
","鄭國泰	CHENG, KUO-TAI
",,,永續發展教育(第二專長),(跨領域)永續發展與環境管理學分學程,,教育學院學士班109B  選修	
11110KIPE225000,環境名著選讀,Selected Readings of Environmental Classics,3,50,0, ,,中, ,,"Nanda南大9122	W5W6W7
","楊宗翰	YANG, CHUNG-HAN
江天健	CHIANG, TIEN-CHIEN
",,,永續發展教育(第二專長),,,教育學院學士班110B  選修	
11110KIPE300100,畢業專題,Thesis,1,55,0, ,,中,需填畢業專題指導教授申請書並請指導教授簽名。詳細說明請見教育學院學士班網頁公告。,,,,,限教育學院學士班大學部3年級4年級,,,,教育學院學士班108B  必修	教育學院學士班109B  必修	
11110KIPE300400,跨領域學習評量設計,Learning Assessment for Interdisciplinary Education,3,40,0, ,,中,「學習科學」專長、「心智、大腦與學習」專長選修.本課程為16週課程。,,"Nanda南大2303	T2T3T4
","郭哲宇	KUO, CHE-YU
",,,,,,教育學院學士班111B  選修	
11110KIPE323100,環境史,Environmental History,3,50,0, ,,中, ,,"Nanda南大9122	T7T8T9
","江天健	CHIANG, TIEN-CHIEN
",,,永續發展教育(第二專長),(跨領域)永續發展與環境管理學分學程,,教育學院學士班108B  選修	
11110KIPE423400,文化遺產與永續發展,Cultural Heritage and Sustainable Development,3,50,0, ,,中, ,,"Nanda南大2303	W6W7W8
","榮芳杰	RONG, FANG-JAY
",,,永續發展教育(第二專長),(跨領域)永續發展與環境管理學分學程,,教育學院學士班108B  選修	
11110KLST500000,論文研究,Thesis,0,,0, ,,中,限學科所碩二以上修習,,,"指導教授	
",,排除學科所碩士班1年級,,,,學科所111M  必修	
11110KLST510101,學習科學基礎,Foundations of Learning Sciences,3,25,0, ,,英,非學科所同學請於開學時以加簽方式選課。,,"GEN II綜二410	W2W3W4
","曾正宜	TZENG, JENG-YI
",,"限學科所,學科所",,,,學科所111M  必修	
11110KLST520100,書報討論一,Seminar(I),1,,0, ,,中, ,,"GEN II綜二410	R7R8
","廖冠智	LIAO, GUAN-ZE
",,限學科所,,,,學科所111M  必修	
11110KLST610100,網路學習理論與實踐,Theory and Practice of Network Learning,3,16,0, ,,中, ,,"GEN II綜二420	T8T9Ta
","王鼎銘	WANG, DING-MING
",,,,,,學科所111M  選修	
11110KLST610400,英文學術論文寫作概論,Introduction to Academic Writing in English,3,15,0, ,,中,欲修習本課程者，請務必準時出席第一堂課,,"EDU教  312	W7W8W9
","徐憶萍	HSU, ANGELA YI-PING
",,學科所優先，第3次選課起開放全校修習,,,《不接受加簽 No extra selection》,學科所111M  選修	
11110KLST610500,自主學習研究,Self-directed Learning,1,,0, ,,中, ,,"GEN II綜二406	R6
","廖冠智	LIAO, GUAN-ZE
",,,,,,學科所111M  選修	
11110KLST610600,實習,Internship,1,,0, ,,中, ,,"GEN II綜二409	S3S4
","廖冠智	LIAO, GUAN-ZE
",,,,,,學科所111M  選修	
11110KLST620100,學習環境設計,Design of Learning Environments,3,20,0, ,,中,限大三以上。本課程為16週課程,,"GEN II綜二410	TnT5T6
","許有真	HSU, YU-CHEN
",,,,(跨領域)資訊傳媒學分學程/(跨領域)創新設計學分學程,,學科所111M  選修	
11110KLST620600,APP設計與教育應用,APP Design and Educational Applications,3,16,0, ,,中, ,,"GEN II綜二420	F2F3F4
","唐文華	TANG, WEN-HUA
",,,,(跨領域)創新創業學分學程,,學科所111M  選修	
11110KLST620900,學習科技應用與研發二,Applications and Implementations of Learning Technologies II,2,,0, ,,中, ,,"GEN II綜二409	R5R6
","許有真	HSU, YU-CHEN
楊叔卿	YOUNG, SHWU-CHING
",,,,,,學科所111M  選修	
11110KLST621100,數位訊息設計,Digital Message Design,3,16,0, ,,中, ,,"GEN II綜二420	R9RaRb
","計惠卿	JIH, HUEY-CHING
",,,,,,學科所111M  選修	
11110KLST630300,教學與學習設計,Design for Instruction and Learning,3,16,0, ,,中,本課程為16週課程,,"GEN II綜二420	T2T3T4
","計惠卿	JIH, HUEY-CHING
",,,,,,學科所111M  選修	
11110KLST630700,議題統整 PBL,Issues Integrating Curricula via PBL,3,16,0, ,,中, ,,"GEN II綜二420	W5W6W7
","計惠卿	JIH, HUEY-CHING
",,,,,,學科所111M  選修	
11110KLST640100,大數據資料分析,Big Data Analytics,3,20,0, ,,中,本課程為16週課程,,"GEN II綜二410	R2R3R4
","區國良	OU, KUO-LIANG
",,"學科所,學科所優先，第3次選課起開放全校修習",,(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,,學科所111M  選修	
11110KLST640200,大數據在教育的應用,Big data in Education,3,16,0, ,,中,學科所同學優先,,"GEN II綜二420	W8W9Wa
","王鼎銘	WANG, DING-MING
",,,,,,學科所111M  選修	
11110KLST640300,設計於學習之研究方法,Research Methods in Design for Learning,3,16,0, ,,中,本課程為16週課程,,"GEN II綜二409	R3R4Rn
","朱如君	CHU, JU-CHUN
",,限學科所,,,,學科所111M  選修	
11110KLST640400,新素養、內容分析與文本探勘,"New Literacies,Content Analysis,and Text Mining",3,,0, ,,英,本課程為16週課程,,"GEN II綜二410	T2T3T4
","陳素燕	CHEN, SU-YEN
",,,,,,學科所111M  選修	
11110KLST640600,成人學習理論與實務,Theory and Practice of Adult Learning,3,16,0, ,,中, ,,"GEN II綜二420	T5T6T7
","王鼎銘	WANG, DING-MING
",,,,,,學科所111M  選修	
11110KMS 500100,教育研究法,Introduction to Educational Research Methodology,3,42,0, ,,中,數教組與科教組的共同必修課,,"Nanda南大9421	T5T6T7
","王姿陵	WANG, TZU-LING
",,限碩士班博士班專班,,,,數理所111M  必修	
11110KMS 510100,專題討論一,Colloquium I,1,45,0, ,,中,數學教育組一年級生的必修課。選修此課程者，不可同時選修專題討論二。,,"Nanda南大9313	T8
","林勇吉	LIN, YUNG-CHI
",,限碩士班博士班專班,,,,數理所111M  必修	
11110KMS 510200,專題討論二,Colloquium (Ⅱ),1,45,0, ,,中,數學教育組二年級生必修課。選修此課程者，不可同時選修專題討論一。,,"Nanda南大9313	T9
","林勇吉	LIN, YUNG-CHI
",,限碩士班博士班專班,,,,數理所111M  必修	
11110KMS 520400,數學學習心理學,Psychology of Learning Mathematics,3,42,0, ,,中,數學教育組課程,,"Nanda南大9421	M9MaMb
","蔡文煥	TSAI, WEN-HUAN
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 520700,數學課程研究,Studies of Mathematical Curricular Development,3,45,0, ,,中,數學教育組課程,,"Nanda南大9313	W9WaWb
","林勇吉	LIN, YUNG-CHI
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 521300,數學思維與推理認知發展,Cognitive Development of Mathematical Thinking and Reasoning,3,45,0, ,,中,數學教育組課程,,"Nanda南大9313	RaRbRc
","許慧玉	HSU, HUI-YU
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 521400,數學雙語教學的課程設計,Curricular Design of Bilingual Teaching in Mathematics,3,45,0, ,,英,數學教育組課程，60%英語授課，上課16週。,,"Nanda南大9313	M5M6M7
","林碧珍	LIN, PI-JEN
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 540800,數學玩具設計研究專題,Topics in Mathematics Toy Design,3,45,0, ,,中,數學教育組課程,,"Nanda南大9313	W2W3W4
","陳正忠	CHEN, JENG-CHUNG
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 600500,論文研究,Thesis,0,,0, ,,中,限數理所碩二以上修習,,,"指導教授	
",,限數理所碩士班,,,,數理所111M  必修	
11110KMS 610100,專題討論一,Colloquium I,1,42,0, ,,中,科學教育組一年級生的必修課。選修此課程者，不可同時選修專題討論二。,,"Nanda南大9312	T8
","王姿陵	WANG, TZU-LING
",,限碩士班博士班專班,,,,數理所111M  必修	
11110KMS 610200,專題討論二,Colloquium (Ⅱ),1,42,0, ,,中,科學教育組二年級生必修課。選修此課程者，不可同時選修專題討論一。,,"Nanda南大9312	T9
","王姿陵	WANG, TZU-LING
",,限碩士班博士班專班,,,,數理所111M  必修	
11110KMS 610300,科學教育導論,Introduction to Science Education,3,42,0, ,,中,科學教育組課程,,"Nanda南大9312	W5W6W7
","林裕仁	LIN, YU-REN
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 621200,教育科技在科學教育上的應用,Educational Technology in Science Education,3,42,0, ,,英,科學教育組課程,,"Nanda南大9312	MaMbMc
","鄭嘉惠	CHENG, CHIA-HUI
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 630800,科學課程研究專題,Topics in Science Curriculum,3,42,0, ,,中,科學教育組課程,,"Nanda南大9312	T2T3T4
","鄭嘉惠	CHENG, CHIA-HUI
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMS 631400,科學創造力教學,Teaching for Scientific Creativity,3,42,0, ,,英,科學教育組課程,,"Nanda南大9312	R5R6R7
","林裕仁	LIN, YU-REN
",,限碩士班博士班專班,,,,數理所111M  選修	
11110KMSN500100,教育研究法,Introduction to Educational Research Methodology,3,42,0, ,,中,數教組與科教組的共同必修課,,"Nanda南大9421	TaTbTc
","蔡文煥	TSAI, WEN-HUAN
",,限專班,,,,數理所在職專班111P  必修	
11110KMSN531100,數學素養導向教學,Study of Mathematics Literacy-oriented Teaching,3,45,0, ,,中,數學教育組課程，本課程為16週課程,,"Nanda南大9313	MaMbMc
","林碧珍	LIN, PI-JEN
",,限專班,,,,數理所在職專班111P  選修	
11110KMSN600500,論文,Thesis,0,,0, ,,中,限數理所專班2年級以上修習,,,"指導教授	
",,限數理所在職專班專班,,,,數理所在職專班111P  必修	
11110KMSN621000,科學展覽之理論與實務,Theory and Practice in Science Fair,3,42,0, ,,中,科學教育組課程,,"Nanda南大9421	RaRbRc
","王姿陵	WANG, TZU-LING
",,限專班,,,,數理所在職專班111P  選修	
11110KMSN630200,環境議題與教學,Environmental Issues and Instruction,3,42,0, ,,中,科學教育組選修課,,"Nanda南大9312	TaTbTc
","蘇宏仁	SU, HUNG-JEN
",,限專班,,,,數理所在職專班111P  選修	
11110KPC 110000,普通心理學一,Introduction to Psychology(I),3,70,40, ,,中,16週課程；加退選期間欲加選者請透過加簽系統辦理。,,"Nanda南大N001	M7M8M9
","李昆樺	LEE, KUN-HUA
",,限心諮系大學部,心理學(第二專長)	心理學(第一專長),,,心諮系111B  必修	
11110KPC 120000,心理與教育統計一,Psychological and Educational Statistics (I),3,55,45, ,,中,加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大N101	W7W8W9
","陳承德	CHEN, CHENG-TE
",,限心諮系大學部,心理學(第二專長)	心理學(第一專長),,,心諮系111B  必修	
11110KPC 172000,生命議題與教育,Life Issues and Education,3,20,15, ,,中,加退選期間不受理線上加選，亦不接受加簽。,,"Nanda南大1311	T2T3T4
","何秀珠	HO,HSIU-CHU
",,限心諮系大學部,,,,心諮系111B  選修	
11110KPC 172100,休閒教育,Leisure Education,2,25,20, ,,中,加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大1311	T5T6
","何軒盛	HO, HSUAN-SHENG
",,心諮系大學部優先，第3次選課起開放全校修習,,,,心諮系111B  選修	
11110KPC 172200,家庭發展,Family Development,2,20,15, ,,中,加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大2203	R3R4
","葉致芬	YEH, CHIH-FEN
",,心諮系大學部優先，第3次選課起開放全校修習,,,,心諮系111B  選修	
11110KPC 180200,專業定向與自我成長,Professional Orientation and Personal Growth,2,25,15, ,,中,加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大N204	R5R6
","鄭詩蓉	CHENG, SHIH-JUNG
",,限心諮系大學部,,,,心諮系111B  選修	
11110KPC 210300,性格心理學,Personality Psychology,3,55,0, ,,中,此為16週課程；加退選期間不受理線上加選，若欲選課得以加簽方式辦理，,,"Nanda南大N101	T7T8T9
","張硯評	Chang, Yen-Ping
",,限心諮系大學部2年級3年級4年級,人力資源管理(第二專長)	人力資源管理(第一專長)	心理學(第二專長)	心理學(第一專長),,,心諮系110B  必修	
11110KPC 210400,認知心理學,Cognitive Psychology,3,30,0, ,,中,此為16週課程；先修科目為「普通心理學一」；加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大N102	M7M8M9
","詹雨臻	CHAN, YU-CHEN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>普通心理學一-成績需C-以上<BR><br>上述條件一定要有，則不擋修。</div>",限心諮系大學部2年級3年級4年級,心智、大腦與學習(第二專長)	心理學(第二專長)	心理學(第一專長),(跨領域)神經科學學分學程,,心諮系110B  必修	
11110KPC 232000,教育心理學,Educational Psychology,3,30,0, ,,中,此為17週課程；加退選期間不受理線上加選，亦不受理加簽。,,"Nanda南大N203	R2R3R4
","劉政宏	LIU, CHENG-HONG
",,限心諮系,心智、大腦與學習(第二專長)	心理學(第二專長)	心理學(第一專長),(跨領域)教育知能學分學程,,心諮系110B  選修	
11110KPC 242000,諮商與心理治療理論,Theories of Counseling and Psychotherapy,3,30,0, ,,中,先修科目為「輔導原理與實務」；加簽必須為畢業門檻或未來生涯規劃所需為主，並以畢業年限急迫性為加簽順序,,"Nanda南大N102	T2T3T4
","葉致芬	YEH, CHIH-FEN
","<div>
  擋修對象 : 大學部 <br>
  先修科目 : <BR><BR>輔導原理與實務-成績需C-以上<BR>輔導原理與實務-成績需C-以上<BR><br>上述條件任選一科，則不擋修。</div>",限心諮系大學部,心理學(第二專長)	心理學(第一專長),,,心諮系110B  選修	
11110KPC 243100,多元文化輔導與諮商,Multicultural issues in counseling and guidance,3,30,0, ,,中,加退選期間不受理線上加選，亦不受理加簽。,,"Nanda南大N203	W2W3W4
","李姿瑩	LEE, TZU-YING
",,心諮系大學部優先，第3次選課起開放全校修習,,,,心諮系108B  選修	心諮系110B  選修	
11110KPC 262200,人力資源管理,Human Resource Management,3,30,0, ,,中,此為16週課程；加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大N203	W5W6W7
","張婉菁	CHANG, WAN-CHING
",,心諮系大學部優先，第3次選課起開放全校修習,人力資源管理(第二專長)	人力資源管理(第一專長),(跨領域)創新創業學分學程,,心諮系110B  選修	
11110KPC 262400,行銷管理,Marketing Management,3,40,0, ,,中,加退選期間不受理線上加選，若欲選課得以加簽方式辦理。,,"Nanda南大2203	R5R6R7
","許宜庭	HSU, YI-TING
",,心諮系優先，第3次選課起開放全校修習,,,,心諮系110B  選修	
